Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Job_Status,Optimization_Category,Production_Output,lag_1,lag_2,lag_3,rolling_mean_7,hour,day_of_week,op_enc,mach_enc
J007,M04,Milling,4.67,22,14.2,87,2023-03-18 09:00:00,2023-03-18 09:22:00,Completed,Moderate Efficiency,120.15544208762795,115.82761060061794,120.63178995074985,128.86446599600728,123.02300661817232,9,5,4,3
J008,M05,Grinding,1.57,79,13.86,91,2023-03-18 09:10:00,2023-03-18 10:29:00,Completed,Low Efficiency,112.90621395851151,120.15544208762795,115.82761060061794,120.63178995074985,120.72228550798276,9,5,2,4
J009,M02,Drilling,3.49,42,8.97,81,2023-03-18 09:20:00,2023-03-18 10:02:00,Completed,Moderate Efficiency,115.23490574103222,112.90621395851151,120.15544208762795,115.82761060061794,120.18530260786792,9,5,1,1
J010,M01,Drilling,2.1,27,3.66,97,2023-03-18 09:30:00,2023-03-18 09:57:00,Delayed,Low Efficiency,130.61099250969187,115.23490574103222,112.90621395851151,120.15544208762795,120.60448869203408,9,5,1,0
J011,M01,Lathe,3.02,65,9.98,90,2023-03-18 09:40:00,2023-03-18 10:45:00,Completed,Low Efficiency,115.31421785580439,130.61099250969187,115.23490574103222,112.90621395851151,118.6687389577194,9,5,3,0
J012,M03,Grinding,2.71,28,8.08,88,2023-03-18 09:50:00,2023-03-18 10:18:00,Delayed,Low Efficiency,126.46036753481488,115.31421785580439,130.61099250969187,115.23490574103222,119.50139289830011,9,5,2,2
J013,M03,Lathe,3.1,43,5.55,95,2023-03-18 10:00:00,2023-03-18 10:43:00,Completed,High Efficiency,130.99518862573495,126.46036753481488,115.31421785580439,130.61099250969187,121.66818975903111,10,5,3,2
J014,M04,Additive,2.33,112,2.01,95,2023-03-18 10:10:00,2023-03-18 12:02:00,Completed,Optimal Efficiency,136.85137508246413,130.99518862573495,126.46036753481488,115.31421785580439,124.05332304400771,10,5,0,3
J015,M05,Additive,3.92,104,3.67,98,2023-03-18 10:20:00,2023-03-18 12:04:00,Completed,High Efficiency,145.93531616372712,136.85137508246413,130.99518862573495,126.46036753481488,128.77176621618136,10,5,0,4
J016,M01,Additive,2.09,65,12.29,96,2023-03-18 10:30:00,2023-03-18 11:35:00,Completed,Low Efficiency,121.03537163687135,145.93531616372712,136.85137508246413,130.99518862573495,129.60040420130125,10,5,0,0
J017,M03,Lathe,4.3,115,9.44,80,2023-03-18 10:40:00,2023-03-18 12:35:00,Completed,Low Efficiency,122.19239536578803,121.03537163687135,145.93531616372712,136.85137508246413,128.39774746645784,10,5,3,2
J018,M05,Lathe,2.25,55,10.95,94,2023-03-18 10:50:00,2023-03-18 11:45:00,Completed,Low Efficiency,118.909208681171,122.19239536578803,121.03537163687135,145.93531616372712,128.91131758436737,10,5,3,4
J019,M02,Milling,4.62,52,3.27,82,2023-03-18 11:00:00,2023-03-18 11:52:00,Completed,Low Efficiency,122.91133850825452,118.909208681171,122.19239536578803,121.03537163687135,128.40431343771587,11,5,4,1
J020,M05,Lathe,1.39,42,14.19,91,2023-03-18 11:10:00,2023-03-18 11:52:00,Completed,Moderate Efficiency,106.36652130349137,122.91133850825452,118.909208681171,122.19239536578803,124.88593239168108,11,5,3,4
J021,M02,Milling,3.95,107,13.73,83,2023-03-18 11:20:00,2023-03-18 13:07:00,Completed,Low Efficiency,94.48405092082962,106.36652130349137,122.91133850825452,118.909208681171,118.83345751144758,11,5,4,1
J022,M03,Additive,3.3,64,4.14,93,2023-03-18 11:30:00,2023-03-18 12:34:00,Delayed,Low Efficiency,137.2500929772018,94.48405092082962,106.36652130349137,122.91133850825452,117.59271134194395,11,5,0,2
J023,M01,Drilling,4.86,98,13.49,89,2023-03-18 11:40:00,2023-03-18 13:18:00,Completed,Low Efficiency,124.34418099429753,137.2500929772018,94.48405092082962,106.36652130349137,118.06539839300483,11,5,1,0
J024,M02,Grinding,1.84,84,8.81,98,2023-03-18 11:50:00,2023-03-18 13:14:00,Delayed,Low Efficiency,118.0571748979678,124.34418099429753,137.2500929772018,94.48405092082962,117.47465261188766,11,5,2,1
J026,M01,Additive,1.14,21,3.89,97,2023-03-18 12:10:00,2023-03-18 12:31:00,Completed,High Efficiency,119.65017162700617,125.76877311993803,118.0571748979678,124.34418099429753,117.9887094058189,12,5,0,0
J028,M03,Milling,3.21,93,4.16,98,2023-03-18 12:30:00,2023-03-18 14:03:00,Completed,Low Efficiency,128.70708074987084,111.72579258650723,119.65017162700617,125.76877311993803,123.64332385039849,12,5,4,2
J029,M02,Milling,3.47,116,5.39,91,2023-03-18 12:40:00,2023-03-18 14:36:00,Completed,Low Efficiency,129.6408960717923,128.70708074987084,111.72579258650723,119.65017162700617,122.55629572105428,12,5,4,1
J030,M05,Grinding,4.62,66,10.36,89,2023-03-18 12:50:00,2023-03-18 13:56:00,Completed,Moderate Efficiency,134.28479384950143,129.6408960717923,128.70708074987084,111.72579258650723,123.97638327179769,12,5,2,4
